# solar irradiance for mstrnx 29-band correlated-k
# columns:
#  1. start wavelength [nm]
#  2. end wavelength [nm]
#  3. center wavelength [nm] (defined as 1 / center wavenumber)
#  4. extraterrestrial irradiance [W/m2], integrated over band
    200.00     229.89     213.91  9.839169e-01
    229.89     277.78     251.58  5.564498e+00
    277.78     298.51     287.77  7.919676e+00
    298.51     333.33     314.96  2.588417e+01
    333.33     434.78     377.36  1.298830e+02
    434.78     677.97     529.80  4.413295e+02
    677.97     754.72     714.29  1.052209e+02
    754.72     784.31     769.23  3.584186e+01
    784.31    1000.00     879.12  1.996801e+02
   1000.00    1666.67    1250.00  2.760110e+02
   1666.67    1923.08    1785.72  4.397242e+01
   1923.08    2127.66    2020.20  2.279858e+01
   2127.66    2631.58    2352.94  3.198088e+01
   2631.58    3030.30    2816.90  1.314059e+01
   3030.30    4000.00    3448.27  1.471448e+01
   4000.00    5000.00    4444.44  5.569435e+00
   5000.00    7142.86    5882.35  4.025961e+00
   7142.86    7547.17    7339.45  3.330347e-01
   7547.17    8163.27    7843.14  3.912183e-01
   8163.27    8510.64    8333.34  1.739442e-01
   8510.64   10204.08    9280.74  0.0000000000
  10204.08   12195.12   11111.11  0.0000000000
  12195.12   13333.33   12738.85  0.0000000000
  13333.33   14925.37   14084.50  0.0000000000
  14925.37   16393.44   15625.00  0.0000000000
  16393.44   18867.92   17543.86  0.0000000000
  18867.92   25000.00   21505.37  0.0000000000
  25000.00   40000.00   30769.23  0.0000000000
  40000.00 1000000.00   76923.08  0.0000000000
